observed_date,source,market,canonical_fish_name,noryangjin_species_name,source_species_name,trade_state,origin,spec,package_unit,quantity,weight,high_price_krw,low_price_krw,avg_price_krw,source_url
2026-07-10,noryangjin,노량진수산물도매시장,,가무락,(활)가무락,활,인천,대,그물망,3,,243500,182000,223000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,가자미,(선)가자미,선,축산,10/20미,S/P,1,,25000,25000,25000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,가자미,(선)가자미,선,군산,100미,S/P,5,,20000,20000,20000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,가자미,(선)가자미,선,군산,80미,S/P,10,,28000,28000,28000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,가자미(H/G),(냉)가자미(H/G),냉,러시아,200/300,CT/(BT),30,,27200,27200,27200,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,간재미,(선)간재미,선,군산,1미,미(마리),10,,4000,4000,4000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,간재미,(선)간재미,선,군산,10미,S/P,30,,3000,2300,2800,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,간재미,(선)간재미,선,군산,4미,S/P,4,,700,700,700,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,갈치,갈치,(선)갈치,선,군산,소,S/P,7,,13000,13000,13000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,갈치,갈치,(냉)갈치,냉,세네갈,400/500,CT/(BT),10,,54600,54600,54600,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,갈치,은갈치,(선)은갈치,선,제주도,20미,S/P,11,,108000,55000,73000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
